,Unnamed: 0.1,accuracy,block,eight_IKI,five_IKI,four_IKI,max_time,move_offset,move_onset,movement_time,one_IKI,one_RT,pressed,rew_onset,reward,seq_keys,seq_start,sequence,seven_IKI,six_IKI,subject,three_IKI,too_slow,two_IKI
0,0,0,1,,426.0,225.0,2163,10629,8241,1853,278.0,278,"[3, 2, 4, 1, 2, 4, 3]",4331,5,"[3, 2, 4, 1, 2, 4, 3, 1]",7963,B,338.0,316.0,105,277.0,1,271.0
1,1,0,1,,205.0,246.0,1770,19062,17072,1243,283.0,283,"[4, 3, 1, 4, 2, 3, 1]",13158,5,"[4, 3, 1, 4, 2, 3, 1, 2]",16789,A,171.0,187.0,105,256.0,1,178.0
2,2,1,1,269.0,192.0,220.0,1770,29539,28106,1433,288.0,288,"[4, 3, 1, 4, 2, 3, 1, 2]",22287,30,"[4, 3, 1, 4, 2, 3, 1, 2]",27818,A,174.0,159.0,105,217.0,0,202.0
3,3,1,1,169.0,230.0,229.0,1770,38901,37522,1379,284.0,284,"[4, 3, 1, 4, 2, 3, 1, 2]",33706,30,"[4, 3, 1, 4, 2, 3, 1, 2]",37238,A,160.0,207.0,105,204.0,0,180.0
4,4,1,1,93.0,225.0,228.0,1770,47338,45985,1353,288.0,288,"[4, 3, 1, 4, 2, 3, 1, 2]",42165,5,"[4, 3, 1, 4, 2, 3, 1, 2]",45697,A,219.0,180.0,105,217.0,0,191.0
5,5,0,1,,283.0,232.0,2163,57139,55028,1607,292.0,292,"[3, 2, 4, 1, 2, 4, 2]",50805,30,"[3, 2, 4, 1, 2, 4, 3, 1]",54736,B,,233.0,105,231.0,0,229.0
6,6,0,1,,412.0,216.0,2163,66920,65082,1333,282.0,282,"[3, 2, 4, 1, 2, 3]",59568,30,"[3, 2, 4, 1, 2, 4, 3, 1]",64800,B,,,105,243.0,0,228.0
7,7,1,1,182.0,241.0,224.0,1770,76933,75451,1482,269.0,269,"[4, 3, 1, 4, 2, 3, 1, 2]",71251,10,"[4, 3, 1, 4, 2, 3, 1, 2]",75182,A,234.0,184.0,105,218.0,0,199.0
8,8,1,1,145.0,387.0,278.0,2163,86299,84508,1791,283.0,283,"[3, 2, 4, 1, 2, 4, 3, 1]",80294,5,"[3, 2, 4, 1, 2, 4, 3, 1]",84225,B,220.0,226.0,105,255.0,0,280.0
9,9,1,1,153.0,405.0,225.0,2163,94986,93286,1700,282.0,282,"[3, 2, 4, 1, 2, 4, 3, 1]",89372,5,"[3, 2, 4, 1, 2, 4, 3, 1]",93004,B,196.0,227.0,105,248.0,0,246.0
10,10,1,1,170.0,337.0,211.0,2163,103441,101726,1715,235.0,235,"[3, 2, 4, 1, 2, 4, 3, 1]",97860,10,"[3, 2, 4, 1, 2, 4, 3, 1]",101491,B,340.0,197.0,105,230.0,0,230.0
11,11,1,1,139.0,533.0,220.0,2163,112253,110389,1864,248.0,248,"[3, 2, 4, 1, 2, 4, 3, 1]",106609,30,"[3, 2, 4, 1, 2, 4, 3, 1]",110141,B,293.0,188.0,105,265.0,0,226.0
