	accuracy	block	eight_IKI	five_IKI	four_IKI	max_time	move_offset	move_onset	movement_time	one_IKI	one_RT	pressed	rew_onset	reward	seq_keys	seq_start	sequence	seven_IKI	six_IKI	subject	three_IKI	too_slow	two_IKI
0	1	1	206.0	388	304	2313	10263	8293	1970	330	330	[3, 2, 4, 1, 2, 4, 3, 1]	4332	5	[3, 2, 4, 1, 2, 4, 3, 1]	7963	B	272.0	256	107	293	0	251
1	0	1		311	200	1624	18940	17076	1203	263	263	[4, 3, 1, 4, 2, 3]	13183	5	[4, 3, 1, 4, 2, 3, 1, 2]	16813	A		201	107	269	1	222
2	0	1		287	207	1624	29969	28189	1211	347	347	[4, 3, 1, 4, 2, 3]	22310	30	[4, 3, 1, 4, 2, 3, 1, 2]	27842	A		225	107	302	1	190
3	1	1	161.0	287	204	1624	38895	37534	1361	262	262	[4, 3, 1, 4, 2, 3, 1, 2]	33741	30	[4, 3, 1, 4, 2, 3, 1, 2]	37272	A	189.0	203	107	163	0	154
4	1	1	134.0	247	233	1624	47375	46098	1277	266	266	[4, 3, 1, 4, 2, 3, 1, 2]	42301	5	[4, 3, 1, 4, 2, 3, 1, 2]	45832	A	153.0	247	107	135	0	128
5	1	1	184.0	421	180	2313	56879	55196	1683	276	276	[3, 2, 4, 1, 2, 4, 3, 1]	50989	30	[3, 2, 4, 1, 2, 4, 3, 1]	54920	B	220.0	268	107	258	0	152
6	1	1	110.0	385	263	2313	66956	65222	1734	281	281	[3, 2, 4, 1, 2, 4, 3, 1]	59710	30	[3, 2, 4, 1, 2, 4, 3, 1]	64941	B	209.0	198	107	345	0	224
7	1	1	207.0	260	195	1624	77178	75870	1308	254	254	[4, 3, 1, 4, 2, 3, 1, 2]	71685	10	[4, 3, 1, 4, 2, 3, 1, 2]	75616	A	175.0	209	107	151	0	111
8	1	1	145.0	394	195	2313	86587	84932	1655	314	314	[3, 2, 4, 1, 2, 4, 3, 1]	80686	5	[3, 2, 4, 1, 2, 4, 3, 1]	84618	B	250.0	211	107	277	0	183
9	1	1	128.0	372	193	2313	95054	93454	1600	312	312	[3, 2, 4, 1, 2, 4, 3, 1]	89511	5	[3, 2, 4, 1, 2, 4, 3, 1]	93142	B	257.0	225	107	260	0	165
