	accuracy	block	eight_IKI	five_IKI	four_IKI	max_time	move_offset	move_onset	movement_time	one_IKI	one_RT	pressed	rew_onset	reward	seq_keys	seq_start	sequence	seven_IKI	six_IKI	subject	three_IKI	too_slow	two_IKI
0	0	4		222.0	280.0	1624	11092	9280	1245	315	315	[4, 3, 1, 4, 2, 3, 1]	5234	30	[4, 3, 1, 4, 2, 3, 1, 2]	8965	A	179.0	167.0	107	311.0	1	86
1	1	4	136.0	371.0	189.0	2313	21675	20074	1601	279	279	[3, 2, 4, 1, 2, 4, 3, 1]	15663	5	[3, 2, 4, 1, 2, 4, 3, 1]	19795	B	233.0	236.0	107	220.0	0	216
2	1	4	121.0	141.0	182.0	1624	30246	29216	1030	290	290	[4, 3, 1, 4, 2, 3, 1, 2]	24795	10	[4, 3, 1, 4, 2, 3, 1, 2]	28926	A	145.0	182.0	107	179.0	0	80
3	0	4		130.0	194.0	1624	40974	39439	1029	245	245	[4, 3, 1, 4, 2, 3, 2]	34363	10	[4, 3, 1, 4, 2, 3, 1, 2]	39194	A		169.0	107	147.0	0	121
4	1	4	153.0	255.0	169.0	2313	49717	48187	1530	309	309	[3, 2, 4, 1, 2, 4, 3, 1]	44147	30	[3, 2, 4, 1, 2, 4, 3, 1]	47878	B	183.0	352.0	107	245.0	0	173
5	1	4	127.0	299.0	158.0	2313	58760	57339	1421	272	272	[3, 2, 4, 1, 2, 4, 3, 1]	53335	5	[3, 2, 4, 1, 2, 4, 3, 1]	57067	B	206.0	238.0	107	203.0	0	190
6	1	4	146.0	346.0	144.0	2313	67583	66161	1422	242	242	[3, 2, 4, 1, 2, 4, 3, 1]	61789	10	[3, 2, 4, 1, 2, 4, 3, 1]	65919	B	208.0	204.0	107	226.0	0	148
7	1	4	13.0	181.0	158.0	1624	75172	74215	957	380	380	[4, 3, 1, 4, 2, 3, 1, 2]	70303	5	[4, 3, 1, 4, 2, 3, 1, 2]	73835	A	181.0	142.0	107	174.0	0	108
8	1	4	481.0	113.0	162.0	1624	84203	82884	1319	268	268	[4, 3, 1, 4, 2, 3, 1, 2]	78785	30	[4, 3, 1, 4, 2, 3, 1, 2]	82616	A	154.0	182.0	107	149.0	0	78
9	1	4	151.0	168.0	171.0	2313	93473	92160	1313	312	312	[3, 2, 4, 1, 2, 4, 3, 1]	88117	10	[3, 2, 4, 1, 2, 4, 3, 1]	91848	B	159.0	322.0	107	164.0	0	178
10	1	4	191.0	141.0	124.0	2313	102497	101025	1472	296	296	[3, 2, 4, 1, 2, 4, 3, 1]	97198	10	[3, 2, 4, 1, 2, 4, 3, 1]	100729	B	248.0	400.0	107	216.0	0	152
11	0	4		484.0	176.0	1624	112175	110368	1207	323	323	[4, 3, 1, 4, 2, 3, 1]	106014	10	[4, 3, 1, 4, 2, 3, 1, 2]	110045	A	194.0	114.0	107	139.0	1	100
12	0	4				2313	120063	119197	361	323	323	[3, 2, 3]	115143	5	[3, 2, 4, 1, 2, 4, 3, 1]	118874	B			107		0	132
13	0	4		438.0	227.0	1624	128403	126571	1287	295	295	[4, 3, 1, 4, 2, 3, 1]	122445	30	[4, 3, 1, 4, 2, 3, 1, 2]	126276	A	197.0	124.0	107	202.0	1	99
14	1	4	135.0	299.0	180.0	2313	138518	136979	1539	274	274	[3, 2, 4, 1, 2, 4, 3, 1]	132374	30	[3, 2, 4, 1, 2, 4, 3, 1]	136705	B	218.0	225.0	107	271.0	0	211
15	0	4		140.0	193.0	2313	147604	145743	1356	373	373	[3, 2, 4, 1, 2, 4, 1]	141838	10	[3, 2, 4, 1, 2, 4, 3, 1]	145370	B		418.0	107	194.0	0	199
16	1	4	147.0	256.0	249.0	2313	157613	155999	1614	283	283	[3, 2, 4, 1, 2, 4, 3, 1]	150385	30	[3, 2, 4, 1, 2, 4, 3, 1]	155716	B	251.0	276.0	107	182.0	0	253
17	0	4		427.0	170.0	1624	166592	164747	1301	283	283	[4, 3, 1, 4, 2, 3, 1]	160432	30	[4, 3, 1, 4, 2, 3, 1, 2]	164464	A	187.0	159.0	107	204.0	1	154
18	1	4	110.0	165.0	169.0	1624	174360	173332	1028	342	342	[4, 3, 1, 4, 2, 3, 1, 2]	169458	5	[4, 3, 1, 4, 2, 3, 1, 2]	172990	A	153.0	158.0	107	198.0	0	75
19	1	4	67.0	174.0	157.0	1624	184065	183085	980	283	283	[4, 3, 1, 4, 2, 3, 1, 2]	177871	5	[4, 3, 1, 4, 2, 3, 1, 2]	182802	A	154.0	190.0	107	160.0	0	78
