	accuracy	block	eight_IKI	five_IKI	four_IKI	max_time	move_offset	move_onset	movement_time	one_IKI	one_RT	pressed	rew_onset	reward	seq_keys	seq_start	sequence	seven_IKI	six_IKI	subject	three_IKI	too_slow	two_IKI
0	0	1		348.0	379.0	2077	10545	8349	1537	386	386	[2, 1, 4, 2, 3, 4]	4331	5	[2, 1, 4, 2, 3, 4, 1, 3]	7963	B		190.0	110	330.0	1	290.0
1	0	1		152.0	225.0	1400	18695	17180	876	388	388	[3, 2, 4, 1, 2, 4]	13160	5	[3, 2, 4, 1, 2, 4, 3, 1]	16792	A		161.0	110	154.0	1	184.0
2	1	1	117.0	158.0	172.0	1400	29214	28183	1031	362	362	[3, 2, 4, 1, 2, 4, 3, 1]	22291	30	[3, 2, 4, 1, 2, 4, 3, 1]	27821	A	170.0	119.0	110	151.0	0	144.0
3	1	1	133.0	92.0	176.0	1400	38552	37577	975	299	299	[3, 2, 4, 1, 2, 4, 3, 1]	33747	30	[3, 2, 4, 1, 2, 4, 3, 1]	37278	A	104.0	154.0	110	173.0	0	143.0
4	1	1	137.0	97.0	160.0	1400	47027	46075	952	358	358	[3, 2, 4, 1, 2, 4, 3, 1]	42185	5	[3, 2, 4, 1, 2, 4, 3, 1]	45717	A	114.0	152.0	110	159.0	0	133.0
5	1	1	266.0	316.0	288.0	2077	56731	55183	1548	389	389	[2, 1, 4, 2, 3, 4, 1, 3]	50863	30	[2, 1, 4, 2, 3, 4, 1, 3]	54794	B	229.0	120.0	110	204.0	0	125.0
6	1	1	204.0	329.0	227.0	2077	66834	65359	1475	338	338	[2, 1, 4, 2, 3, 4, 1, 3]	59790	30	[2, 1, 4, 2, 3, 4, 1, 3]	65021	B	226.0	157.0	110	148.0	0	184.0
7	1	1	135.0	138.0	169.0	1400	77082	76046	1036	323	323	[3, 2, 4, 1, 2, 4, 3, 1]	71792	10	[3, 2, 4, 1, 2, 4, 3, 1]	75723	A	156.0	145.0	110	158.0	0	135.0
8	0	1		203.0	651.0	2077	87330	85166	1480	416	416	[2, 1, 4, 2, 3, 4]	80819	5	[2, 1, 4, 2, 3, 4, 1, 3]	84750	B		284.0	110	234.0	1	108.0
9	0	1		288.0	407.0	2077	96159	94037	1510	461	461	[2, 1, 4, 2, 3, 4, 1]	89945	5	[2, 1, 4, 2, 3, 4, 1, 3]	93576	B	225.0	200.0	110	191.0	1	199.0
