	accuracy	block	cue_onset	eight_IKI	five_IKI	four_IKI	max_time	move_offset	move_onset	movement_time	one_IKI	one_RT	pressed	seq_keys	seq_start	sequence	seven_IKI	six_IKI	subject	three_IKI	too_slow	two_IKI
0	0	1	4016				3000	10655					[]	[4, 3, 1, 4, 2, 3, 1, 2]	7151	A			111		1	
1	0	1	11645				3000	18578	17316.0	0.0	2241.0	2241.0	[4]	[4, 3, 2, 1, 3, 2, 1, 4]	15075	random			111		1	
2	0	1	19765				3000	26399					[]	[4, 3, 1, 4, 2, 3, 1, 2]	22896	A			111		1	
3	0	1	27987				3000	34626	32874.0	0.0	1751.0	1751.0	[4]	[4, 3, 1, 4, 2, 3, 1, 2]	31123	A			111		1	
4	0	1	36014				3000	39641	39136.0	0.0		91.0	[2]	[4, 3, 1, 4, 2, 3, 1, 2]	39045	A			111		0	
5	0	1	41229				3000	45476	44972.0	0.0		613.0	[3]	[2, 1, 4, 3, 4, 2, 3, 1]	44359	random			111		0	
6	0	1	46856				3000	53887	52787.0	0.0	2403.0	2403.0	[4]	[4, 3, 1, 4, 2, 3, 1, 2]	50384	A			111		1	
7	0	1	55474				3000	62415	59038.0	1910.0	126.0	126.0	[4, 3]	[4, 3, 1, 4, 2, 3, 1, 2]	58912	A			111		1	1910.0
8	0	1	63601				3000	67384	66880.0	0.0		48.0	[2]	[4, 3, 1, 4, 2, 3, 1, 2]	66832	A			111		0	
9	0	1	69072				3000	74798	72581.0	1712.0	271.0	271.0	[4, 4]	[4, 3, 1, 4, 2, 3, 1, 2]	72310	A			111		0	
10	0	1	76086				3000	80254	79750.0	0.0		433.0	[2]	[1, 3, 2, 4, 1, 2, 4, 3]	79317	random			111		0	
11	0	1	81242				3000	86537	84502.0	1530.0	229.0	229.0	[4, 3, 4]	[4, 3, 1, 4, 2, 3, 1, 2]	84273	A			111		0	410.0
12	0	1	87726				3000	93115	91243.0	1367.0	486.0	486.0	[4, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	90757	A			111		0	
13	0	1	94104				3000	99049	97281.0	1264.0	146.0	146.0	[4, 3, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	97135	A			111		0	329.0
14	0	1	100337				3000	104581	104074.0	0.0		606.0	[2]	[1, 2, 3, 4, 1, 4, 2, 3]	103468	random			111		0	
15	0	1	105570				3000	110418	109913.0	0.0		613.0	[4]	[3, 2, 4, 1, 2, 4, 3, 1]	109300	B			111		0	
16	0	1	112805				3000	119764	117477.0	1783.0	835.0	835.0	[4, 4]	[4, 3, 1, 4, 2, 3, 1, 2]	116642	A			111		0	
17	0	1	121052				3000	125744	124524.0	715.0	440.0	440.0	[4, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	124084	A			111		0	
18	0	1	127830				3000	132861	132357.0	0.0		589.0	[4]	[3, 2, 4, 1, 2, 4, 3, 1]	131768	B			111		0	
19	0	1	133945				3000	139148	137485.0	1159.0	110.0	110.0	[4, 3, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	137375	A			111		0	399.0
20	0	1	140336				3000	144128	143623.0	0.0		56.0	[2]	[4, 3, 1, 4, 2, 3, 1, 2]	143567	A			111		0	
21	0	1	145317				3000	149334	148830.0	0.0		381.0	[4]	[3, 2, 4, 1, 2, 4, 3, 1]	148449	B			111		0	
22	0	1	150423				3000	154537	154033.0	0.0		179.0	[2]	[4, 3, 1, 4, 2, 3, 1, 2]	153854	A			111		0	
23	0	1	155526				3000	159554	159049.0	0.0		191.0	[2]	[4, 3, 1, 4, 2, 3, 1, 2]	158858	A			111		0	
24	0	1	160743				3000	165146	164293.0	347.0	120.0	120.0	[4, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	164173	A			111		0	
25	0	1	166333				3000	171109	170605.0	0.0		1141.0	[4]	[3, 2, 4, 1, 2, 4, 3, 1]	169464	B			111		0	
26	0	1	172498				3000	176822	176317.0	0.0		787.0	[2]	[4, 3, 1, 4, 2, 3, 1, 2]	175530	A			111		0	
27	0	1	177811				3000	181800	181296.0	0.0		54.0	[2]	[3, 4, 2, 1, 4, 1, 2, 3]	181242	random			111		0	
28	0	1	182889				3000	187032	186161.0	367.0	42.0	42.0	[4, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	186119	A			111		0	
29	0	1	188220				3000	192262	191758.0	0.0		306.0	[2]	[4, 3, 1, 4, 2, 3, 1, 2]	191452	A			111		0	
30	0	1	193251				3000	197620	196431.0	684.0	149.0	149.0	[4, 3, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	196282	A			111		0	300.0
31	0	1	199709				3000	204651	204147.0	0.0		1200.0	[2]	[4, 3, 1, 4, 2, 3, 1, 2]	202947	A			111		0	
32	0	1	205640				3000	209846	209342.0	0.0		570.0	[2]	[4, 3, 1, 4, 2, 3, 1, 2]	208772	A			111		0	
33	0	1	210836				3000	215562	215057.0	0.0		190.0	[2]	[4, 3, 1, 4, 2, 3, 1, 2]	214867	A			111		0	
34	0	1	217651				3000	222854	222350.0	0.0		863.0	[4]	[3, 2, 4, 1, 2, 4, 3, 1]	221487	B			111		0	
