	Unnamed: 0	accuracy	block	eight_IKI	five_IKI	four_IKI	max_time	move_offset	move_onset	movement_time	one_IKI	one_RT	pressed	rew_onset	reward	seq_keys	seq_start	sequence	seven_IKI	six_IKI	subject	three_IKI	too_slow	two_IKI
0	0	0	1				2267	8468	7964	0		30	[2]	4312	5	[3, 2, 4, 1, 2, 4, 3, 1]	7934	B			115		0	
1	1	0	1		373.0	228.0	1759	16749	15028	921	541.0	541	[4, 3, 1, 4, 2, 3]	10876	5	[4, 3, 1, 4, 2, 3, 1, 2]	14487	A		111.0	115	180.0	1	29.0
2	2	0	1			151.0	1759	27737	26003	407	528.0	528	[4, 3, 1, 4]	19960	30	[4, 3, 1, 4, 2, 3, 1, 2]	25475	A			115	213.0	1	43.0
3	3	0	1			144.0	1759	36390	35279	607	423.0	423	[4, 3, 1, 4, 1]	31344	30	[4, 3, 1, 4, 2, 3, 1, 2]	34856	A			115	147.0	0	49.0
4	4	0	1				1759	43736	43166	66	547.0	547	[4, 3, 3]	39104	5	[4, 3, 1, 4, 2, 3, 1, 2]	42619	A			115		0	61.0
5	5	0	1		142.0	277.0	2267	53334	51067	1695	503.0	503	[3, 2, 4, 1, 2, 4, 3]	46647	30	[3, 2, 4, 1, 2, 4, 3, 1]	50564	B	545.0	348.0	115	274.0	1	109.0
6	6	1	1	221.0	127.0	210.0	2267	62903	61280	1623	434.0	434	[3, 2, 4, 1, 2, 4, 3, 1]	55635	30	[3, 2, 4, 1, 2, 4, 3, 1]	60846	B	347.0	385.0	115	206.0	0	127.0
7	7	0	1		478.0	172.0	1759	73829	71998	949	431.0	431	[4, 3, 1, 4, 2]	67653	10	[4, 3, 1, 4, 2, 3, 1, 2]	71567	A			115	215.0	1	84.0
8	8	1	1	180.0	113.0	223.0	2267	82473	80985	1488	438.0	438	[3, 2, 4, 1, 2, 4, 3, 1]	76636	5	[3, 2, 4, 1, 2, 4, 3, 1]	80547	B	290.0	364.0	115	215.0	0	103.0
9	9	1	1	162.0	116.0	236.0	2267	90963	89472	1491	437.0	437	[3, 2, 4, 1, 2, 4, 3, 1]	85424	5	[3, 2, 4, 1, 2, 4, 3, 1]	89035	B	311.0	370.0	115	199.0	0	97.0
10	10	1	1	165.0	106.0	171.0	2267	99192	97772	1420	446.0	446	[3, 2, 4, 1, 2, 4, 3, 1]	93712	10	[3, 2, 4, 1, 2, 4, 3, 1]	97326	B	323.0	357.0	115	193.0	0	105.0
11	11	1	1	143.0	115.0	164.0	2267	107588	106193	1395	440.0	440	[3, 2, 4, 1, 2, 4, 3, 1]	102243	30	[3, 2, 4, 1, 2, 4, 3, 1]	105753	B	296.0	386.0	115	205.0	0	86.0
12	12	1	1	92.0	347.0	142.0	1759	116243	114997	1246	446.0	446	[4, 3, 1, 4, 2, 3, 1, 2]	110938	5	[4, 3, 1, 4, 2, 3, 1, 2]	114551	A	332.0	95.0	115	156.0	0	82.0
13	13	1	1	63.0	349.0	155.0	1759	124681	123563	1118	451.0	451	[4, 3, 1, 4, 2, 3, 1, 2]	119500	10	[4, 3, 1, 4, 2, 3, 1, 2]	123112	A	262.0	93.0	115	137.0	0	59.0
14	14	1	1	181.0	100.0	177.0	2267	134491	132991	1500	432.0	432	[3, 2, 4, 1, 2, 4, 3, 1]	128447	30	[3, 2, 4, 1, 2, 4, 3, 1]	132559	B	364.0	399.0	115	183.0	0	96.0
15	15	1	1	58.0	366.0	149.0	1759	145964	144815	1149	562.0	562	[4, 3, 1, 4, 2, 3, 1, 2]	139940	30	[4, 3, 1, 4, 2, 3, 1, 2]	144253	A	266.0	67.0	115	166.0	0	77.0
16	16	1	1	204.0	100.0	178.0	2267	156464	154908	1556	467.0	467	[3, 2, 4, 1, 2, 4, 3, 1]	150029	10	[3, 2, 4, 1, 2, 4, 3, 1]	154441	B	296.0	462.0	115	209.0	0	107.0
