	accuracy	block	cue_onset	eight_IKI	five_IKI	four_IKI	max_time	move_offset	move_onset	movement_time	one_IKI	one_RT	pressed	seq_keys	seq_start	sequence	seven_IKI	six_IKI	subject	three_IKI	too_slow	two_IKI
0	1	1	4025	283.0	408.0	206.0	3000	9381	7561	1820	405.0	405	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	7156	A	252.0	283.0	119	219.0	0	169.0
1	0	1	10916			364.0	3000	16787	14936	1346	589.0	589	[2, 3, 1, 4, 2]	[2, 3, 1, 4, 1, 4, 2, 3]	14347	random			119	329.0	0	354.0
2	1	1	17974	212.0	285.0	185.0	3000	23155	21573	1582	468.0	468	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	21105	A	228.0	333.0	119	200.0	0	139.0
3	1	1	25284	218.0	284.0	206.0	3000	30250	28813	1437	399.0	399	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	28414	A	208.0	213.0	119	187.0	0	121.0
4	1	1	32179	524.0	500.0	204.0	3000	37761	35669	2092	459.0	459	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	35210	A	224.0	254.0	119	228.0	0	158.0
5	0	1	39888		388.0	412.0	3000	46521	43520	2423	502.0	502	[1, 3, 4, 2, 4, 1, 2]	[1, 3, 4, 2, 4, 1, 2, 3]	43018	random	370.0	330.0	119	460.0	1	463.0
6	1	1	47910	299.0	331.0	271.0	3000	53632	51869	1763	428.0	428	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	51441	A	333.0	201.0	119	197.0	0	131.0
7	0	1	55759		281.0	186.0	3000	61183	59556	1120	365.0	365	[4, 3, 1, 4, 2, 3, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	59191	A		163.0	119	211.0	0	80.0
8	1	1	62371	293.0	389.0	250.0	3000	67813	66013	1800	411.0	411	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	65602	A	322.0	224.0	119	193.0	0	129.0
9	1	1	70040	276.0	254.0	248.0	3000	75258	73646	1612	375.0	375	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	73271	A	254.0	261.0	119	184.0	0	135.0
10	0	1	77088			371.0	3000	83268	80772	1990	454.0	454	[2, 1, 3, 4, 4]	[2, 1, 3, 4, 3, 2, 1, 4]	80318	random			119	780.0	0	440.0
11	1	1	84256	216.0	312.0	269.0	3000	89261	87668	1593	381.0	381	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	87287	A	235.0	243.0	119	163.0	0	155.0
12	1	1	90986	254.0	325.0	203.0	3000	95990	94433	1557	415.0	415	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	94018	A	261.0	182.0	119	198.0	0	134.0
13	1	1	97514	225.0	267.0	209.0	3000	102395	100926	1469	381.0	381	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	100545	A	275.0	160.0	119	175.0	0	158.0
14	0	1	104222		459.0	616.0	3000	110855	107843	2466	491.0	491	[4, 2, 1, 3, 4, 2]	[4, 2, 1, 3, 4, 2, 3, 1]	107352	random		468.0	119	434.0	1	489.0
15	0	1	111844		428.0	281.0	3000	118159	116030	1623	455.0	455	[3, 2, 4, 1, 2, 3]	[3, 2, 4, 1, 2, 4, 3, 1]	115575	B			119	389.0	0	247.0
16	0	1	120548		401.0	289.0	3000	126542	124782	1254	403.0	403	[4, 3, 1, 4, 2, 1]	[4, 3, 1, 4, 2, 3, 1, 2]	124379	A			119	185.0	0	146.0
17	1	1	127831	362.0	490.0	267.0	3000	133625	131298	2327	436.0	436	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	130862	A	294.0	502.0	119	253.0	0	159.0
18	1	1	136250	361.0	550.0	256.0	3000	143078	140665	2413	484.0	484	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	140181	B	293.0	306.0	119	320.0	0	327.0
