	accuracy	block	cue_onset	eight_IKI	five_IKI	four_IKI	max_time	move_offset	move_onset	movement_time	one_IKI	one_RT	pressed	seq_keys	seq_start	sequence	seven_IKI	six_IKI	subject	three_IKI	too_slow	two_IKI
0	0	1	2016				3000	5809	5305	0	758	758	[4, 3]	[4, 3, 1, 4, 2, 3, 1, 2]	4547	A			119		0	
1	1	1	7850	418.0	467.0	279.0	3000	13285	10906	2379	525	525	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	10381	A	351.0	304.0	119	263.0	0	297.0
2	1	1	15311	309.0	396.0	246.0	3000	20094	18244	1850	403	403	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	17841	A	272.0	311.0	119	168.0	0	148.0
3	1	1	22123	190.0	109.0	267.0	3000	26963	24991	1972	338	338	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	24653	B	312.0	473.0	119	338.0	0	283.0
4	1	1	28987	221.0	315.0	236.0	3000	33872	31942	1930	424	424	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	31518	A	543.0	306.0	119	212.0	0	97.0
5	1	1	35905	220.0	276.0	196.0	3000	40297	38765	1532	330	330	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	38435	A	300.0	217.0	119	178.0	0	145.0
6	1	1	42330	230.0	371.0	200.0	3000	47106	45265	1841	404	404	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	44861	B	230.0	233.0	119	290.0	0	287.0
7	1	1	49134	242.0	434.0	284.0	3000	54232	51985	2247	321	321	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	51664	A	361.0	621.0	119	183.0	0	122.0
8	1	1	56259	162.0	430.0	161.0	3000	60733	59139	1594	350	350	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	58789	A	244.0	225.0	119	215.0	0	157.0
9	1	1	62761	232.0	374.0	81.0	3000	67399	65703	1696	411	411	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	65292	B	394.0	190.0	119	222.0	0	203.0
10	1	1	69433	224.0	201.0	167.0	3000	73655	72254	1401	291	291	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	71963	A	296.0	213.0	119	181.0	0	119.0
11	1	1	75682	153.0	432.0	288.0	3000	81040	78576	2464	364	364	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	78212	B	312.0	273.0	119	276.0	0	730.0
12	1	1	83066	198.0	373.0	250.0	3000	87519	85894	1625	298	298	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	85596	A	239.0	237.0	119	179.0	0	149.0
13	1	1	89551	222.0	224.0	173.0	3000	93720	92384	1336	303	303	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	92081	A	190.0	216.0	119	177.0	0	134.0
14	1	1	95748	269.0	363.0	208.0	3000	100522	98616	1906	338	338	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	98278	B	356.0	214.0	119	303.0	0	193.0
15	1	1	102550	299.0	210.0	179.0	3000	107715	105422	2293	342	342	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	105080	B	544.0	411.0	119	348.0	0	302.0
16	1	1	109743	239.0	363.0	368.0	3000	114535	112690	1845	417	417	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	112273	A	261.0	220.0	119	226.0	0	168.0
17	1	1	116558	288.0	263.0	170.0	3000	121255	119393	1862	303	303	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	119090	B	243.0	309.0	119	347.0	0	242.0
18	1	1	123282	398.0	358.0	211.0	3000	128113	126198	1915	385	385	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	125813	A	335.0	299.0	119	178.0	0	136.0
19	1	1	130142	313.0	247.0	141.0	3000	134759	133019	1740	347	347	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	132672	B	297.0	234.0	119	285.0	0	223.0
20	1	1	136786	206.0	281.0	270.0	3000	141189	139637	1552	321	321	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	139316	A	240.0	247.0	119	159.0	0	149.0
21	1	1	143217	323.0	275.0	201.0	3000	147822	146122	1700	375	375	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	145747	A	301.0	289.0	119	182.0	0	129.0
22	1	1	149844	199.0	281.0	219.0	3000	154544	152765	1779	389	389	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	152376	B	288.0	190.0	119	374.0	0	228.0
23	1	1	156571	191.0	181.0	197.0	3000	160644	159381	1263	280	280	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	159101	A	197.0	214.0	119	166.0	0	117.0
24	0	1	162671			316.0	3000	167131	165529	1098	330	330	[4, 3, 1, 4, 3]	[4, 3, 1, 4, 2, 3, 1, 2]	165199	A			119	197.0	0	122.0
25	1	1	169171	236.0	224.0	185.0	3000	173850	172318	1532	610	610	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	171708	A	320.0	236.0	119	190.0	0	141.0
26	1	1	175885	240.0	246.0	176.0	3000	180582	178792	1790	377	377	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	178415	B	296.0	218.0	119	396.0	0	218.0
27	1	1	182616	228.0	310.0	198.0	3000	187050	185499	1551	353	353	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	185146	A	253.0	234.0	119	194.0	0	134.0
28	1	1	189079	252.0	261.0	169.0	3000	193538	191974	1564	365	365	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	191609	B	226.0	222.0	119	238.0	0	196.0
29	1	1	195561	280.0	319.0	215.0	3000	199947	198441	1506	349	349	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	198092	A	192.0	201.0	119	155.0	0	144.0
30	1	1	201977	158.0	249.0	163.0	3000	206302	205013	1289	505	505	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	204508	A	215.0	189.0	119	176.0	0	139.0
31	1	1	208332	151.0	218.0	168.0	3000	212410	211220	1190	358	358	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	210862	A	178.0	182.0	119	160.0	0	133.0
32	1	1	214443	151.0	217.0	142.0	3000	218564	217329	1235	356	356	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	216973	A	217.0	214.0	119	166.0	0	128.0
33	1	1	220592	286.0	209.0	166.0	3000	225029	223455	1574	332	332	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	223123	B	319.0	207.0	119	183.0	0	204.0
34	1	1	227056	261.0	305.0	161.0	3000	231453	229934	1519	347	347	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	229587	A	332.0	152.0	119	172.0	0	136.0
35	1	1	233481	132.0	230.0	134.0	3000	237521	236348	1173	337	337	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	236011	A	175.0	185.0	119	175.0	0	142.0
36	1	1	239549	145.0	318.0	152.0	3000	243793	242417	1376	338	338	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	242079	A	196.0	251.0	119	167.0	0	147.0
37	1	1	245825	157.0	219.0	165.0	3000	249922	248666	1256	311	311	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	248355	A	157.0	221.0	119	213.0	0	124.0
38	1	1	251954	167.0	202.0	174.0	3000	256123	254877	1246	393	393	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	254484	A	167.0	213.0	119	180.0	0	143.0
39	1	1	258156	322.0	221.0	193.0	3000	262802	261033	1769	347	347	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	260686	B	285.0	219.0	119	322.0	0	207.0
40	0	1	264836			169.0	3000	269132	267698	930	332	332	[4, 3, 1, 4, 3]	[4, 3, 1, 4, 2, 3, 1, 2]	267366	A			119	202.0	0	144.0
41	1	1	271170	247.0	394.0	449.0	3000	276147	274068	2079	368	368	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	273700	A	275.0	266.0	119	306.0	0	142.0
42	1	1	278185	158.0	246.0	170.0	3000	282353	281060	1293	345	345	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	280715	A	215.0	181.0	119	214.0	0	109.0
43	1	1	284386	162.0	201.0	167.0	3000	288737	287265	1472	349	349	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	286916	A	315.0	307.0	119	185.0	0	135.0
44	0	1	290763		170.0	175.0	3000	295367	293666	1196	372	372	[3, 2, 4, 1, 2, 3]	[3, 2, 4, 1, 2, 4, 3, 1]	293294	B			119	316.0	0	213.0
45	1	1	297409	201.0	220.0	181.0	3000	302036	300288	1748	349	349	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	299939	B	335.0	257.0	119	339.0	0	215.0
46	1	1	304062	226.0	223.0	189.0	3000	308620	306958	1662	366	366	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	306592	B	341.0	207.0	119	256.0	0	220.0
47	1	1	310648	140.0	282.0	152.0	3000	314882	313538	1344	360	360	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	313178	A	202.0	259.0	119	191.0	0	118.0
48	0	1	316916			357.0	3000	321305	319763	1038	317	317	[3, 2, 4, 1, 4]	[3, 2, 4, 1, 2, 4, 3, 1]	319446	B			119	228.0	0	177.0
49	1	1	323348	505.0	218.0	133.0	3000	328199	326455	1744	571	571	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	325884	A	282.0	271.0	119	179.0	0	156.0
50	1	1	330228	202.0	222.0	182.0	3000	334623	333090	1533	332	332	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	332758	B	305.0	188.0	119	258.0	0	176.0
51	1	1	336653	255.0	229.0	202.0	3000	341107	339547	1560	364	364	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	339183	B	255.0	163.0	119	281.0	0	175.0
52	1	1	343134	193.0	607.0	167.0	3000	347897	346033	1864	380	380	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	345653	A	300.0	278.0	119	180.0	0	139.0
53	0	1	349925		206.0	169.0	3000	354450	352824	1122	369	369	[4, 3, 1, 4, 2, 3, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	352455	A		201.0	119	178.0	0	155.0
54	1	1	356492	298.0	179.0	200.0	3000	360966	359438	1528	416	416	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	359022	B	223.0	201.0	119	244.0	0	183.0
55	1	1	362992	176.0	199.0	203.0	3000	367173	365859	1314	337	337	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	365522	A	195.0	230.0	119	148.0	0	163.0
56	1	1	369203	288.0	276.0	234.0	3000	373664	372110	1554	377	377	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	371733	A	231.0	195.0	119	172.0	0	158.0
57	1	1	375693	166.0	269.0	184.0	3000	380100	378558	1542	334	334	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	378224	A	277.0	309.0	119	187.0	0	150.0
