	accuracy	block	cue_onset	eight_IKI	five_IKI	four_IKI	max_time	move_offset	move_onset	movement_time	one_IKI	one_RT	pressed	seq_keys	seq_start	sequence	seven_IKI	six_IKI	subject	three_IKI	too_slow	two_IKI
0	0	2	4517		457.0	584	3000	11452	8712	2056	763	763	[2, 1, 4, 2, 3]	[2, 1, 4, 2, 3, 4, 1, 3]	7949	B			138	472	1	543
1	0	2	12442		455.0	560	3000	18977	15969	2211	495	495	[3, 2, 4, 1, 2, 4]	[3, 2, 4, 1, 2, 4, 3, 1]	15474	A		385.0	138	399	1	412
2	1	2	20065	284.0	382.0	369	3000	26121	23630	2491	434	434	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	23196	A	369.0	405.0	138	321	0	361
3	0	2	27753		361.0	365	3000	34287	31160	2456	376	376	[3, 2, 4, 1, 2, 4, 3]	[3, 2, 4, 1, 2, 4, 3, 1]	30784	A	364.0	465.0	138	385	1	516
4	1	2	35474	377.0	371.0	314	3000	41658	39154	2504	449	449	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	38705	A	377.0	374.0	138	352	0	339
5	0	2	43590		448.0	358	3000	50223	47308	2274	588	588	[3, 2, 4, 1, 2, 4, 3]	[3, 2, 4, 1, 2, 4, 3, 1]	46720	A	416.0	325.0	138	363	1	364
6	0	2	51209		375.0	338	3000	57743	54700	2419	460	460	[3, 2, 4, 1, 2, 4, 3]	[3, 2, 4, 1, 2, 4, 3, 1]	54240	A	393.0	401.0	138	378	1	534
7	1	2	59132	296.0	384.0	341	3000	65190	62742	2448	379	379	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	62363	A	363.0	378.0	138	332	0	354
8	0	2	66721		379.0	487	3000	73255	70195	2481	443	443	[2, 1, 4, 2, 3, 4, 1]	[2, 1, 4, 2, 3, 4, 1, 3]	69752	B	337.0	456.0	138	361	1	461
9	0	2	74443		452.0	471	3000	81675	78717	2130	545	545	[1, 3, 4, 2, 1]	[1, 3, 4, 2, 1, 3, 2, 4]	78172	random			138	498	1	709
10	0	2	83060		368.0	338	3000	90499	87561	2150	565	565	[3, 2, 4, 1, 2, 4, 3]	[3, 2, 4, 1, 2, 4, 3, 1]	86996	A	413.0	365.0	138	302	1	364
11	1	2	91788	311.0	405.0	304	3000	97790	95222	2568	403	403	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	94819	A	350.0	395.0	138	323	0	480
12	0	2	99518			440	3000	106783	104115	2162	661	661	[2, 1, 3, 4, 4]	[2, 1, 3, 4, 3, 4, 1, 2]	103454	random			138	506	0	619
13	0	2	107873		433.0	386	3000	114906	112026	2105	623	623	[3, 2, 4, 1, 2, 4]	[3, 2, 4, 1, 2, 4, 3, 1]	111403	A		438.0	138	427	1	421
14	0	2	115896		378.0	373	3000	123231	120197	2224	469	469	[3, 2, 4, 1, 2, 4, 3]	[3, 2, 4, 1, 2, 4, 3, 1]	119728	A	408.0	386.0	138	366	1	313
15	0	2	125020		542.0	605	3000	132859	129865	2178	509	509	[2, 1, 4, 2, 3]	[2, 1, 4, 2, 3, 4, 1, 3]	129356	B			138	467	1	564
16	0	2	133848		472.0	374	3000	140383	137375	2456	495	495	[3, 2, 4, 1, 2, 4, 3]	[3, 2, 4, 1, 2, 4, 3, 1]	136880	A	403.0	475.0	138	367	1	365
17	0	2	141667		746.0	397	3000	149000	146042	2242	545	545	[1, 3, 2, 4, 1]	[1, 3, 2, 4, 1, 4, 2, 3]	145497	random			138	495	1	604
18	0	2	150689		419.0	533	3000	157629	154682	2367	556	556	[2, 1, 4, 2, 3, 4]	[2, 1, 4, 2, 3, 4, 1, 3]	154126	B		529.0	138	407	1	479
19	0	2	158918		430.0	352	3000	165651	162680	2318	532	532	[3, 2, 4, 1, 2, 4, 3]	[3, 2, 4, 1, 2, 4, 3, 1]	162148	A	436.0	383.0	138	383	1	334
20	0	2	167140		504.0	364	3000	173774	170977	2007	706	706	[3, 2, 4, 1, 2, 4]	[3, 2, 4, 1, 2, 4, 3, 1]	170271	A		370.0	138	318	1	451
21	0	2	174861		431.0	372	3000	181494	178484	2319	493	493	[3, 2, 4, 1, 2, 4, 3]	[3, 2, 4, 1, 2, 4, 3, 1]	177991	A	373.0	441.0	138	331	1	371
22	0	2	183183		448.0	353	3000	189722	186963	1906	744	744	[3, 2, 4, 1, 2, 4]	[3, 2, 4, 1, 2, 4, 3, 1]	186219	A		364.0	138	341	1	400
23	1	2	190909	345.0	338.0	323	3000	196726	194359	2367	419	419	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	193940	A	364.0	346.0	138	317	0	334
24	1	2	198451	466.0	343.0	334	3000	204852	202275	2577	394	394	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	201881	A	356.0	382.0	138	334	0	362
25	0	2	207581		516.0	503	3000	214520	211578	2211	561	561	[2, 1, 4, 2, 3, 4]	[2, 1, 4, 2, 3, 4, 1, 3]	211017	B		375.0	138	339	1	478
26	1	2	215510	340.0	442.0	282	3000	221610	219030	2580	389	389	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	218641	A	517.0	337.0	138	302	0	360
27	0	2	223435		661.0	402	3000	229967	227056	2073	592	592	[4, 3, 1, 2, 1]	[4, 3, 1, 2, 1, 4, 3, 2]	226464	random			138	693	1	317
28	0	2	230958		424.0	356	3000	239098	236052	2293	457	457	[3, 2, 4, 1, 2, 4, 3]	[3, 2, 4, 1, 2, 4, 3, 1]	235595	A	408.0	385.0	138	300	1	420
29	0	2	240187		405.0	348	3000	246922	243842	2229	423	423	[3, 2, 4, 1, 2, 4, 3]	[3, 2, 4, 1, 2, 4, 3, 1]	243419	A	427.0	373.0	138	277	1	399
30	0	2	247912		373.0	306	3000	254445	251424	2347	482	482	[3, 2, 4, 1, 2, 4, 3]	[3, 2, 4, 1, 2, 4, 3, 1]	250942	A	420.0	375.0	138	348	1	525
31	0	2	256428		534.0	345	3000	262968	260013	1768	548	548	[4, 2, 3, 1, 3]	[4, 2, 3, 1, 3, 2, 1, 4]	259465	random			138	325	1	564
32	0	2	263958		441.0	423	3000	270492	267749	2087	760	760	[3, 2, 4, 1, 2, 4]	[3, 2, 4, 1, 2, 4, 3, 1]	266989	A		450.0	138	396	1	377
33	1	2	271582	317.0	371.0	363	3000	278016	275621	2395	408	408	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	275213	A	331.0	332.0	138	318	0	363
34	1	2	280045	306.0	412.0	291	3000	286350	284001	2349	421	421	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	283580	A	341.0	333.0	138	308	0	358
