	decision	gains	losses	subject
0	1	6	1	123
1	1	18	1	123
2	1	12	2	123
3	1	12	1	123
4	1	8	1	123
5	1	16	2	123
6	1	20	1	123
7	1	20	2	123
8	1	20	3	123
9	1	14	1	123
10	1	16	1	123
11	0	14	5	123
12	0	8	5	123
13	0	14	7	123
14	0	10	4	123
15	0	16	5	123
16	0	18	8	123
17	0	12	9	123
18	0	6	4	123
19	0	14	8	123
20	0	8	6	123
21	0	6	6	123
22	0	16	8	123
23	0	6	5	123
24	0	4	2	123
25	0	2	1	123
26	0	12	4	123
27	0	18	3	123
28	0	2	5	123
29	0	12	10	123
30	0	18	7	123
31	0	16	10	123
32	0	4	1	123
33	0	6	2	123
34	0	14	6	123
35	0	6	3	123
36	0	16	4	123
37	0	20	10	123
38	0	6	7	123
39	0	8	7	123
40	0	2	10	123
41	0	8	8	123
42	0	10	8	123
43	0	18	10	123
44	0	2	6	123
45	0	4	4	123
46	0	4	6	123
47	0	10	10	123
48	0	14	9	123
49	0	12	6	123
50	0	16	9	123
51	0	8	3	123
52	0	12	8	123
53	0	14	10	123
54	0	4	9	123
55	0	2	8	123
56	0	8	2	123
57	0	6	10	123
58	0	18	5	123
59	0	4	10	123
60	0	14	3	123
61	0	10	2	123
62	0	20	6	123
63	0	4	8	123
64	0	20	5	123
65	0	16	6	123
66	0	10	7	123
67	0	4	7	123
68	0	20	4	123
69	0	8	10	123
70	0	14	2	123
71	0	18	4	123
72	0	18	6	123
73	0	20	8	123
74	0	6	9	123
75	0	10	3	123
76	0	2	7	123
77	0	20	7	123
78	0	18	2	123
79	0	4	3	123
80	0	12	5	123
81	0	10	1	123
82	0	8	9	123
83	0	2	4	123
84	0	2	9	123
85	0	20	9	123
86	0	2	3	123
87	0	4	5	123
88	0	10	5	123
89	0	6	8	123
90	0	12	3	123
91	0	10	9	123
92	0	16	3	123
93	0	16	7	123
94	0	12	7	123
95	0	10	6	123
96	0	2	2	123
97	0	18	9	123
98	0	14	4	123
99	0	8	4	123
