	response	seq_eight	seq_five	seq_four	seq_labels	seq_one	seq_seven	seq_six	seq_three	seq_two	subject
0	7	3	4	3	random	2	1	2	4	1	119
1	7	3	1	4	random	2	2	4	1	3	119
2	7	4	3	1	random	3	1	2	4	2	119
3	1	2	2	4	A	4	1	3	1	3	119
4	7	2	4	1	random	2	1	3	4	3	119
5	7	3	1	4	random	3	4	2	2	1	119
6	7	3	2	4	random	2	4	1	3	1	119
7	1	1	2	1	B	3	3	4	4	2	119
8	7	1	4	2	random	4	3	2	1	3	119
9	7	4	2	4	random	3	1	3	2	1	119
10	7	1	3	4	random	2	2	4	1	3	119
11	7	3	4	3	random	1	1	2	4	2	119
12	7	1	4	3	random	4	2	3	1	2	119
13	7	2	3	4	random	1	1	4	2	3	119
