thing,reverse,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,rating.response,rating.rt,date,frameRate,expName,session,participant,
I plan tasks carefully.,1,0,0,0,0,3,4.869,2016_Aug_24_1402,63.3586996896,BIS11_questions,001,123,
I do things without thinking.,0,0,1,1,1,1,4.869,2016_Aug_24_1402,63.3586996896,BIS11_questions,001,123,
I make-up my mind quickly.,0,0,2,2,2,1,7.274,2016_Aug_24_1402,63.3586996896,BIS11_questions,001,123,
I am happy-go-lucky.,0,0,3,3,3,2,63.244,2016_Aug_24_1402,63.3586996896,BIS11_questions,001,123,
I don't "pay attention.",0,0,4,4,4,3,14.604,2016_Aug_24_1402,63.3586996896,BIS11_questions,001,123,
I have "racing" thoughts.,0,0,5,5,5,3,3.403,2016_Aug_24_1402,63.3586996896,BIS11_questions,001,123,
I plan trips well ahead of time.,1,0,6,6,6,2,17.178,2016_Aug_24_1402,63.3586996896,BIS11_questions,001,123,
I am self controlled.,1,0,7,7,7,3,6.15,2016_Aug_24_1402,63.3586996896,BIS11_questions,001,123,
I concentrate easily.,1,0,8,8,8,2,2.56,2016_Aug_24_1402,63.3586996896,BIS11_questions,001,123,
I save regularly.,1,0,9,9,9,1,2.592,2016_Aug_24_1402,63.3586996896,BIS11_questions,001,123,
I "squirm" at plays or lectures,0,0,10,10,10,2,4.183,2016_Aug_24_1402,63.3586996896,BIS11_questions,001,123,
I am a careful thinker.,1,0,11,11,11,2,5.166,2016_Aug_24_1402,63.3586996896,BIS11_questions,001,123,
I plan for job security.,1,0,12,12,12,3,6.304,2016_Aug_24_1402,63.3586996896,BIS11_questions,001,123,
I say things without thinking.,0,0,13,13,13,1,3.403,2016_Aug_24_1402,63.3586996896,BIS11_questions,001,123,
I like to think about complex problems.,1,0,14,14,14,3,7.818,2016_Aug_24_1402,63.3586996896,BIS11_questions,001,123,
I change jobs.,0,0,15,15,15,2,5.93,2016_Aug_24_1402,63.3586996896,BIS11_questions,001,123,
I act "on impulse.",0,0,16,16,16,1,6.46,2016_Aug_24_1402,63.3586996896,BIS11_questions,001,123,
I get easily bored when solving thought problems.,0,0,17,17,17,4,4.261,2016_Aug_24_1402,63.3586996896,BIS11_questions,001,123,
I act on the spur of the moment.,0,0,18,18,18,1,2.654,2016_Aug_24_1402,63.3586996896,BIS11_questions,001,123,
I am a steady thinker.,1,0,19,19,19,1,4.652,2016_Aug_24_1402,63.3586996896,BIS11_questions,001,123,
I change residences.,0,0,20,20,20,1,3.247,2016_Aug_24_1402,63.3586996896,BIS11_questions,001,123,
I buy things on impulse.,0,0,21,21,21,2,8.301,2016_Aug_24_1402,63.3586996896,BIS11_questions,001,123,
I can only think about one thing at a time.,0,0,22,22,22,1,5.056,2016_Aug_24_1402,63.3586996896,BIS11_questions,001,123,
I change hobbies.,0,0,23,23,23,1,3.465,2016_Aug_24_1402,63.3586996896,BIS11_questions,001,123,
I spend or charge more than I earn.,0,0,24,24,24,4,7.927,2016_Aug_24_1402,63.3586996896,BIS11_questions,001,123,
I often have extraneous thoughts when thinking.,0,0,25,25,25,3,5.29,2016_Aug_24_1402,63.3586996896,BIS11_questions,001,123,
I am more interested in the present than the future.,0,0,26,26,26,1,4.744,2016_Aug_24_1402,63.3586996896,BIS11_questions,001,123,
I am restless at the theater or lectures.,0,0,27,27,27,3,4.433,2016_Aug_24_1402,63.3586996896,BIS11_questions,001,123,
I like puzzles.,1,0,28,28,28,1,2.982,2016_Aug_24_1402,63.3586996896,BIS11_questions,001,123,
I am future oriented. ,1,0,29,29,29,4,3.34,2016_Aug_24_1402,63.3586996896,BIS11_questions,001,123,
