thing,reverse,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,rating.response,rating.rt,date,frameRate,expName,session,participant,
I'm always trying to figure myself out.,0,0,0,0,0,3,12.576,2016_Sep_13_1031,63.3311012698,scsr_questions,001,125,
I'm concerned about my style of doing things.,0,0,1,1,1,3,2.841,2016_Sep_13_1031,63.3311012698,scsr_questions,001,125,
It takes me time to get over my shyness in new situations.,0,0,2,2,2,2,4.152,2016_Sep_13_1031,63.3311012698,scsr_questions,001,125,
I think about myself a lot.,0,0,3,3,3,3,5.384,2016_Sep_13_1031,63.3311012698,scsr_questions,001,125,
I care a lot about how I present myself to others.,0,0,4,4,4,2,2.405,2016_Sep_13_1031,63.3311012698,scsr_questions,001,125,
I often daydream about myself.,0,0,5,5,5,2,8.395,2016_Sep_13_1031,63.3311012698,scsr_questions,001,125,
It's hard for me to work when someone is watching me.,0,0,6,6,6,2,5.292,2016_Sep_13_1031,63.3311012698,scsr_questions,001,125,
I never take a hard look at myself.,1,0,7,7,7,0,4.871,2016_Sep_13_1031,63.3311012698,scsr_questions,001,125,
I get embarrassed very easily.,0,0,8,8,8,1,2.997,2016_Sep_13_1031,63.3311012698,scsr_questions,001,125,
I'm self-conscious about the way I look.,0,0,9,9,9,1,3.559,2016_Sep_13_1031,63.3311012698,scsr_questions,001,125,
It's easy for me to talk to strangers.,1,0,10,10,10,1,2.264,2016_Sep_13_1031,63.3311012698,scsr_questions,001,125,
I generally pay attention to my inner feelings.,0,0,11,11,11,2,2.498,2016_Sep_13_1031,63.3311012698,scsr_questions,001,125,
I usually worry about making a good impression.,0,0,12,12,12,3,2.467,2016_Sep_13_1031,63.3311012698,scsr_questions,001,125,
I'm constantly thinking about my reasons for doing things.,0,0,13,13,13,1,4.542,2016_Sep_13_1031,63.3311012698,scsr_questions,001,125,
I feel nervous when I speak in front of a group.,0,0,14,14,14,3,2.623,2016_Sep_13_1031,63.3311012698,scsr_questions,001,125,
"Before I leave my house, I check how I look.",0,0,15,15,15,1,2.779,2016_Sep_13_1031,63.3311012698,scsr_questions,001,125,
I sometimes step back (in my mind) in order to examine myself from a distance.,0,0,16,16,16,1,4.448,2016_Sep_13_1031,63.3311012698,scsr_questions,001,125,
I'm concerned about what other people think of me.,0,0,17,17,17,2,7.755,2016_Sep_13_1031,63.3311012698,scsr_questions,001,125,
I'm quick to notice changes in my mood.,0,0,18,18,18,2,3.668,2016_Sep_13_1031,63.3311012698,scsr_questions,001,125,
I'm usually aware of my appearance.,0,0,19,19,19,2,3.887,2016_Sep_13_1031,63.3311012698,scsr_questions,001,125,
I know the way my mind works when I work through a problem.,0,0,20,20,20,3,5.509,2016_Sep_13_1031,63.3311012698,scsr_questions,001,125,
Large groups make me nervous.,0,0,21,21,21,2,3.949,2016_Sep_13_1031,63.3311012698,scsr_questions,001,125,
