thing,reverse,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,rating.response,rating.rt,date,frameRate,expName,session,participant,
A person's family is the most important thing in life. ,1,0,0,0,0,2,27.789,2016_Oct_04_0854,63.6261169941,BAS_questions,001,127,
"Even if something bad is about to happen to me, I rarely experience fear or nervousness. ",0,0,1,1,1,4,6.178,2016_Oct_04_0854,63.6261169941,BAS_questions,001,127,
I go out of my way to get things I want. ,1,0,2,2,2,2,3.606,2016_Oct_04_0854,63.6261169941,BAS_questions,001,127,
When I'm doing well at something I love to keep at it. ,1,0,3,3,3,1,3.45,2016_Oct_04_0854,63.6261169941,BAS_questions,001,127,
I'm always willing to try something new if I think it will be fun. ,1,0,4,4,4,1,4.421,2016_Oct_04_0854,63.6261169941,BAS_questions,001,127,
How I dress is important to me. ,1,0,5,5,5,2,1.687,2016_Oct_04_0854,63.6261169941,BAS_questions,001,127,
"When I get something I want, I feel excited and energized. ",1,0,6,6,6,1,4.776,2016_Oct_04_0854,63.6261169941,BAS_questions,001,127,
Criticism or scolding hurts me quite a bit. ,1,0,7,7,7,1,2.997,2016_Oct_04_0854,63.6261169941,BAS_questions,001,127,
When I want something I usually go all-out to get it. ,1,0,8,8,8,1,3.482,2016_Oct_04_0854,63.6261169941,BAS_questions,001,127,
I will often do things for no other reason than that they might be fun.,1,0,9,9,9,2,3.356,2016_Oct_04_0854,63.6261169941,BAS_questions,001,127,
It's hard for me to find the time to do things such as get a haircut. ,1,0,10,10,10,1,2.717,2016_Oct_04_0854,63.6261169941,BAS_questions,001,127,
If I see a chance to get something I want I move on it right away. ,1,0,11,11,11,2,4.979,2016_Oct_04_0854,63.6261169941,BAS_questions,001,127,
I feel pretty worried or upset when I think or know somebody is angry at me. ,1,0,12,12,12,1,4.48,2016_Oct_04_0854,63.6261169941,BAS_questions,001,127,
When I see an opportunity for something I like I get excited right away. ,1,0,13,13,13,1,3.372,2016_Oct_04_0854,63.6261169941,BAS_questions,001,127,
I often act on the spur of the moment. ,1,0,14,14,14,3,3.562,2016_Oct_04_0854,63.6261169941,BAS_questions,001,127,
If I think something unpleasant is going to happen I usually get pretty "worked up.",1,0,15,15,15,1,3.046,2016_Oct_04_0854,63.6261169941,BAS_questions,001,127,
I often wonder why people act the way they do. ,1,0,16,16,16,2,2.623,2016_Oct_04_0854,63.6261169941,BAS_questions,001,127,
"When good things happen to me, it affects me strongly. ",1,0,17,17,17,2,2.467,2016_Oct_04_0854,63.6261169941,BAS_questions,001,127,
I feel worried when I think I have done poorly at something important. ,1,0,18,18,18,1,2.857,2016_Oct_04_0854,63.6261169941,BAS_questions,001,127,
I crave excitement and new sensations.,1,0,19,19,19,2,4.23,2016_Oct_04_0854,63.6261169941,BAS_questions,001,127,
When I go after something I use a "no holds barred" approach. ,1,0,20,20,20,2,5.635,2016_Oct_04_0854,63.6261169941,BAS_questions,001,127,
I have very few fears compared to my friends. ,0,0,21,21,21,3,2.997,2016_Oct_04_0854,63.6261169941,BAS_questions,001,127,
It would excite me to win a contest. ,1,0,22,22,22,2,2.033,2016_Oct_04_0854,63.6261169941,BAS_questions,001,127,
I worry about making mistakes. ,1,0,23,23,23,1,2.141,2016_Oct_04_0854,63.6261169941,BAS_questions,001,127,
