thing,reverse,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,rating.response,rating.rt,date,frameRate,expName,session,participant,
I plan tasks carefully.,1,0,0,0,0,4,9.413,2016_Oct_04_0859,63.1412546159,BIS11_questions,001,127,
I do things without thinking.,0,0,1,1,1,1,2.108,2016_Oct_04_0859,63.1412546159,BIS11_questions,001,127,
I make-up my mind quickly.,0,0,2,2,2,2,2.504,2016_Oct_04_0859,63.1412546159,BIS11_questions,001,127,
I am happy-go-lucky.,0,0,3,3,3,3,1.89,2016_Oct_04_0859,63.1412546159,BIS11_questions,001,127,
I don't "pay attention.",0,0,4,4,4,1,1.671,2016_Oct_04_0859,63.1412546159,BIS11_questions,001,127,
I have "racing" thoughts.,0,0,5,5,5,2,2.518,2016_Oct_04_0859,63.1412546159,BIS11_questions,001,127,
I plan trips well ahead of time.,1,0,6,6,6,4,1.983,2016_Oct_04_0859,63.1412546159,BIS11_questions,001,127,
I am self controlled.,1,0,7,7,7,3,2.765,2016_Oct_04_0859,63.1412546159,BIS11_questions,001,127,
I concentrate easily.,1,0,8,8,8,2,2.186,2016_Oct_04_0859,63.1412546159,BIS11_questions,001,127,
I save regularly.,1,0,9,9,9,4,2.28,2016_Oct_04_0859,63.1412546159,BIS11_questions,001,127,
I "squirm" at plays or lectures,0,0,10,10,10,3,3.762,2016_Oct_04_0859,63.1412546159,BIS11_questions,001,127,
I am a careful thinker.,1,0,11,11,11,3,2.857,2016_Oct_04_0859,63.1412546159,BIS11_questions,001,127,
I plan for job security.,1,0,12,12,12,3,2.282,2016_Oct_04_0859,63.1412546159,BIS11_questions,001,127,
I say things without thinking.,0,0,13,13,13,2,2.919,2016_Oct_04_0859,63.1412546159,BIS11_questions,001,127,
I like to think about complex problems.,1,0,14,14,14,2,4.573,2016_Oct_04_0859,63.1412546159,BIS11_questions,001,127,
I change jobs.,0,0,15,15,15,2,2.311,2016_Oct_04_0859,63.1412546159,BIS11_questions,001,127,
I act "on impulse.",0,0,16,16,16,1,2.826,2016_Oct_04_0859,63.1412546159,BIS11_questions,001,127,
I get easily bored when solving thought problems.,0,0,17,17,17,2,2.732,2016_Oct_04_0859,63.1412546159,BIS11_questions,001,127,
I act on the spur of the moment.,0,0,18,18,18,2,2.217,2016_Oct_04_0859,63.1412546159,BIS11_questions,001,127,
I am a steady thinker.,1,0,19,19,19,2,3.015,2016_Oct_04_0859,63.1412546159,BIS11_questions,001,127,
I change residences.,0,0,20,20,20,2,2.124,2016_Oct_04_0859,63.1412546159,BIS11_questions,001,127,
I buy things on impulse.,0,0,21,21,21,1,2.167,2016_Oct_04_0859,63.1412546159,BIS11_questions,001,127,
I can only think about one thing at a time.,0,0,22,22,22,2,4.916,2016_Oct_04_0859,63.1412546159,BIS11_questions,001,127,
I change hobbies.,0,0,23,23,23,1,2.046,2016_Oct_04_0859,63.1412546159,BIS11_questions,001,127,
I spend or charge more than I earn.,0,0,24,24,24,1,2.779,2016_Oct_04_0859,63.1412546159,BIS11_questions,001,127,
I often have extraneous thoughts when thinking.,0,0,25,25,25,2,2.28,2016_Oct_04_0859,63.1412546159,BIS11_questions,001,127,
I am more interested in the present than the future.,0,0,26,26,26,2,3.674,2016_Oct_04_0859,63.1412546159,BIS11_questions,001,127,
I am restless at the theater or lectures.,0,0,27,27,27,2,5.266,2016_Oct_04_0859,63.1412546159,BIS11_questions,001,127,
I like puzzles.,1,0,28,28,28,4,2.174,2016_Oct_04_0859,63.1412546159,BIS11_questions,001,127,
I am future oriented. ,1,0,29,29,29,3,1.767,2016_Oct_04_0859,63.1412546159,BIS11_questions,001,127,
