thing,reverse,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,rating.response,rating.rt,date,frameRate,expName,session,participant,
I plan tasks carefully.,1,0,0,0,0,3,4.383,2017_Apr_18_0851,60.2338763191,BIS11_questions,001,132,
I do things without thinking.,0,0,1,1,1,1,5.049,2017_Apr_18_0851,60.2338763191,BIS11_questions,001,132,
I make-up my mind quickly.,0,0,2,2,2,3,5.283,2017_Apr_18_0851,60.2338763191,BIS11_questions,001,132,
I am happy-go-lucky.,0,0,3,3,3,2,4.9,2017_Apr_18_0851,60.2338763191,BIS11_questions,001,132,
I don't "pay attention.",0,0,4,4,4,1,3.101,2017_Apr_18_0851,60.2338763191,BIS11_questions,001,132,
I have "racing" thoughts.,0,0,5,5,5,4,2.968,2017_Apr_18_0851,60.2338763191,BIS11_questions,001,132,
I plan trips well ahead of time.,1,0,6,6,6,3,3.667,2017_Apr_18_0851,60.2338763191,BIS11_questions,001,132,
I am self controlled.,1,0,7,7,7,3,2.534,2017_Apr_18_0851,60.2338763191,BIS11_questions,001,132,
I concentrate easily.,1,0,8,8,8,2,3.665,2017_Apr_18_0851,60.2338763191,BIS11_questions,001,132,
I save regularly.,1,0,9,9,9,1,5.781,2017_Apr_18_0851,60.2338763191,BIS11_questions,001,132,
I "squirm" at plays or lectures,0,0,10,10,10,4,4.633,2017_Apr_18_0851,60.2338763191,BIS11_questions,001,132,
I am a careful thinker.,1,0,11,11,11,4,4.298,2017_Apr_18_0851,60.2338763191,BIS11_questions,001,132,
I plan for job security.,1,0,12,12,12,4,4.117,2017_Apr_18_0851,60.2338763191,BIS11_questions,001,132,
I say things without thinking.,0,0,13,13,13,1,5.233,2017_Apr_18_0851,60.2338763191,BIS11_questions,001,132,
I like to think about complex problems.,1,0,14,14,14,3,4.683,2017_Apr_18_0851,60.2338763191,BIS11_questions,001,132,
I change jobs.,0,0,15,15,15,1,9.03,2017_Apr_18_0851,60.2338763191,BIS11_questions,001,132,
I act "on impulse.",0,0,16,16,16,2,3.535,2017_Apr_18_0851,60.2338763191,BIS11_questions,001,132,
I get easily bored when solving thought problems.,0,0,17,17,17,1,8.118,2017_Apr_18_0851,60.2338763191,BIS11_questions,001,132,
I act on the spur of the moment.,0,0,18,18,18,1,4.283,2017_Apr_18_0851,60.2338763191,BIS11_questions,001,132,
I am a steady thinker.,1,0,19,19,19,3,3.367,2017_Apr_18_0851,60.2338763191,BIS11_questions,001,132,
I change residences.,0,0,20,20,20,2,5.465,2017_Apr_18_0851,60.2338763191,BIS11_questions,001,132,
I buy things on impulse.,0,0,21,21,21,2,3.681,2017_Apr_18_0851,60.2338763191,BIS11_questions,001,132,
I can only think about one thing at a time.,0,0,22,22,22,3,6.382,2017_Apr_18_0851,60.2338763191,BIS11_questions,001,132,
I change hobbies.,0,0,23,23,23,1,4.782,2017_Apr_18_0851,60.2338763191,BIS11_questions,001,132,
I spend or charge more than I earn.,0,0,24,24,24,4,11.298,2017_Apr_18_0851,60.2338763191,BIS11_questions,001,132,
I often have extraneous thoughts when thinking.,0,0,25,25,25,4,3.284,2017_Apr_18_0851,60.2338763191,BIS11_questions,001,132,
I am more interested in the present than the future.,0,0,26,26,26,2,5.449,2017_Apr_18_0851,60.2338763191,BIS11_questions,001,132,
I am restless at the theater or lectures.,0,0,27,27,27,4,5.982,2017_Apr_18_0851,60.2338763191,BIS11_questions,001,132,
I like puzzles.,1,0,28,28,28,4,2.634,2017_Apr_18_0851,60.2338763191,BIS11_questions,001,132,
I am future oriented. ,1,0,29,29,29,4,3.316,2017_Apr_18_0851,60.2338763191,BIS11_questions,001,132,
