thing,reverse,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,rating.response,rating.rt,date,frameRate,expName,session,participant,
A person's family is the most important thing in life. ,1,0,0,0,0,3,8.35,2017_May_15_1420,59.8756131265,BAS_questions,001,136,
"Even if something bad is about to happen to me, I rarely experience fear or nervousness. ",0,0,1,1,1,3,5.1,2017_May_15_1420,59.8756131265,BAS_questions,001,136,
I go out of my way to get things I want. ,1,0,2,2,2,2,4.051,2017_May_15_1420,59.8756131265,BAS_questions,001,136,
When I'm doing well at something I love to keep at it. ,1,0,3,3,3,1,3.385,2017_May_15_1420,59.8756131265,BAS_questions,001,136,
I'm always willing to try something new if I think it will be fun. ,1,0,4,4,4,3,2.236,2017_May_15_1420,59.8756131265,BAS_questions,001,136,
How I dress is important to me. ,1,0,5,5,5,2,2.369,2017_May_15_1420,59.8756131265,BAS_questions,001,136,
"When I get something I want, I feel excited and energized. ",1,0,6,6,6,1,3.168,2017_May_15_1420,59.8756131265,BAS_questions,001,136,
Criticism or scolding hurts me quite a bit. ,1,0,7,7,7,1,3.134,2017_May_15_1420,59.8756131265,BAS_questions,001,136,
When I want something I usually go all-out to get it. ,1,0,8,8,8,2,7.016,2017_May_15_1420,59.8756131265,BAS_questions,001,136,
I will often do things for no other reason than that they might be fun.,1,0,9,9,9,2,3.218,2017_May_15_1420,59.8756131265,BAS_questions,001,136,
It's hard for me to find the time to do things such as get a haircut. ,1,0,10,10,10,1,5.084,2017_May_15_1420,59.8756131265,BAS_questions,001,136,
If I see a chance to get something I want I move on it right away. ,1,0,11,11,11,2,5.317,2017_May_15_1420,59.8756131265,BAS_questions,001,136,
I feel pretty worried or upset when I think or know somebody is angry at me. ,1,0,12,12,12,1,2.701,2017_May_15_1420,59.8756131265,BAS_questions,001,136,
When I see an opportunity for something I like I get excited right away. ,1,0,13,13,13,2,3.351,2017_May_15_1420,59.8756131265,BAS_questions,001,136,
I often act on the spur of the moment. ,1,0,14,14,14,4,4.8,2017_May_15_1420,59.8756131265,BAS_questions,001,136,
If I think something unpleasant is going to happen I usually get pretty "worked up.",1,0,15,15,15,2,4.318,2017_May_15_1420,59.8756131265,BAS_questions,001,136,
I often wonder why people act the way they do. ,1,0,16,16,16,3,2.868,2017_May_15_1420,59.8756131265,BAS_questions,001,136,
"When good things happen to me, it affects me strongly. ",1,0,17,17,17,2,2.935,2017_May_15_1420,59.8756131265,BAS_questions,001,136,
I feel worried when I think I have done poorly at something important. ,1,0,18,18,18,1,3.484,2017_May_15_1420,59.8756131265,BAS_questions,001,136,
I crave excitement and new sensations.,1,0,19,19,19,3,2.318,2017_May_15_1420,59.8756131265,BAS_questions,001,136,
When I go after something I use a "no holds barred" approach. ,1,0,20,20,20,3,2.485,2017_May_15_1420,59.8756131265,BAS_questions,001,136,
I have very few fears compared to my friends. ,0,0,21,21,21,3,2.685,2017_May_15_1420,59.8756131265,BAS_questions,001,136,
It would excite me to win a contest. ,1,0,22,22,22,1,3.018,2017_May_15_1420,59.8756131265,BAS_questions,001,136,
I worry about making mistakes. ,1,0,23,23,23,2,2.051,2017_May_15_1420,59.8756131265,BAS_questions,001,136,
