thing,reverse,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,rating.response,rating.rt,date,frameRate,expName,session,participant,
I'm always trying to figure myself out.,0,0,0,0,0,3,4.117,2017_May_15_1428,59.8808886998,scsr_questions,001,136,
I'm concerned about my style of doing things.,0,0,1,1,1,2,2.967,2017_May_15_1428,59.8808886998,scsr_questions,001,136,
It takes me time to get over my shyness in new situations.,0,0,2,2,2,3,4.284,2017_May_15_1428,59.8808886998,scsr_questions,001,136,
I think about myself a lot.,0,0,3,3,3,3,2.265,2017_May_15_1428,59.8808886998,scsr_questions,001,136,
I care a lot about how I present myself to others.,0,0,4,4,4,2,3.617,2017_May_15_1428,59.8808886998,scsr_questions,001,136,
I often daydream about myself.,0,0,5,5,5,3,1.951,2017_May_15_1428,59.8808886998,scsr_questions,001,136,
It's hard for me to work when someone is watching me.,0,0,6,6,6,3,3.317,2017_May_15_1428,59.8808886998,scsr_questions,001,136,
I never take a hard look at myself.,1,0,7,7,7,0,2.684,2017_May_15_1428,59.8808886998,scsr_questions,001,136,
I get embarrassed very easily.,0,0,8,8,8,2,2.401,2017_May_15_1428,59.8808886998,scsr_questions,001,136,
I'm self-conscious about the way I look.,0,0,9,9,9,2,2.167,2017_May_15_1428,59.8808886998,scsr_questions,001,136,
It's easy for me to talk to strangers.,1,0,10,10,10,1,2.068,2017_May_15_1428,59.8808886998,scsr_questions,001,136,
I generally pay attention to my inner feelings.,0,0,11,11,11,3,2.484,2017_May_15_1428,59.8808886998,scsr_questions,001,136,
I usually worry about making a good impression.,0,0,12,12,12,3,3.75,2017_May_15_1428,59.8808886998,scsr_questions,001,136,
I'm constantly thinking about my reasons for doing things.,0,0,13,13,13,2,3.1,2017_May_15_1428,59.8808886998,scsr_questions,001,136,
I feel nervous when I speak in front of a group.,0,0,14,14,14,3,2.285,2017_May_15_1428,59.8808886998,scsr_questions,001,136,
"Before I leave my house, I check how I look.",0,0,15,15,15,2,2.485,2017_May_15_1428,59.8808886998,scsr_questions,001,136,
I sometimes step back (in my mind) in order to examine myself from a distance.,0,0,16,16,16,3,3.068,2017_May_15_1428,59.8808886998,scsr_questions,001,136,
I'm concerned about what other people think of me.,0,0,17,17,17,2,2.151,2017_May_15_1428,59.8808886998,scsr_questions,001,136,
I'm quick to notice changes in my mood.,0,0,18,18,18,3,2.635,2017_May_15_1428,59.8808886998,scsr_questions,001,136,
I'm usually aware of my appearance.,0,0,19,19,19,2,2.168,2017_May_15_1428,59.8808886998,scsr_questions,001,136,
I know the way my mind works when I work through a problem.,0,0,20,20,20,2,4.167,2017_May_15_1428,59.8808886998,scsr_questions,001,136,
Large groups make me nervous.,0,0,21,21,21,2,2.968,2017_May_15_1428,59.8808886998,scsr_questions,001,136,
